City,Category,Brand,Sub Brand,Product Name,Month,Volume Sales (units)
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2024-06,1340
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2024-07,1260
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2024-08,953
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2024-09,1294
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2024-10,1224
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2024-11,1450
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2024-12,1279
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2025-01,1352
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2025-02,1358
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2025-03,1434
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2025-04,1416
Bangalore,Personal Care,WellZen,Pro,Vitamin C Tablets,2025-05,1474
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2021-06,1294
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2021-07,1269
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2021-08,1341
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2021-09,1211
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2021-10,1252
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2021-11,1318
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2021-12,1305
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-01,1451
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-02,1398
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-03,1313
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-04,1417
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-05,1410
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-06,1309
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-07,1270
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-08,1449
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-09,1504
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-10,1409
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-11,1540
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2022-12,1164
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-01,1411
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-02,1399
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-03,1613
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-04,1340
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-05,1407
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-06,1316
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-07,1563
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-08,1335
Chennai,Vitamins,HealthPlus,Pro,Omega 3 Capsules,2023-09,1457
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-01,871
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-02,835
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-03,689
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-04,858
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-05,795
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-06,872
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-07,926
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-08,647
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-09,673
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-10,981
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-11,781
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2020-12,808
Hyderabad,Personal Care,FitGen,Ultra,Protein Powder,2021-01,880
