Product Name,Start_Date,End_Date,Length,Avg_Sales,Std_Sales,Demand Pattern
Calcium Tablets,2020-01,2025-06,66,1596.2272727272727,111.42459270798295,Stable
Collagen Boost,2020-01,2025-06,66,752.0151515151515,122.62306125486818,Fluctuating
Detox Tea,2020-01,2025-06,66,1502.8636363636363,97.07061448143915,Stable
Electrolyte Drink,2020-01,2025-06,66,1214.7424242424242,125.19354992061258,Fluctuating
Energy Bar,2020-01,2025-06,66,796.560606060606,133.58605740096812,Fluctuating
Face Moisturizer,2020-01,2025-06,66,1376.6363636363637,107.15791888805785,Stable
Green Tea Extract,2021-03,2023-06,28,1339.357142857143,115.8003435949979,Stable
Hair Growth Serum,2020-01,2025-06,66,1131.878787878788,122.0637305359552,Fluctuating
Immunity Booster,2024-06,2025-05,12,1136.3333333333333,120.45393939241472,Fluctuating
Joint Flex,2020-01,2025-06,66,964.939393939394,107.80008260134969,Fluctuating
Multivitamin Gummies,2020-01,2025-06,66,733.4242424242424,91.49830777856126,Fluctuating
Omega 3 Capsules,2021-06,2023-09,28,1373.75,105.50324727317717,Stable
Pre Workout Mix,2020-01,2025-06,66,1220.6363636363637,120.1421768461963,Stable
Probiotic Capsules,2020-01,2025-06,66,747.0151515151515,102.45832059529108,Fluctuating
Protein Powder,2020-01,2025-06,66,864.969696969697,90.70560489797064,Fluctuating
Sleep Support,2020-01,2025-06,66,708.1060606060606,112.78967884966981,Fluctuating
Vitamin C Tablets,2024-06,2025-05,12,1319.5,139.98538884794044,Fluctuating
Vitamin D Drops,2020-01,2025-06,66,1057.6363636363637,118.94208498432995,Fluctuating
Whey Isolate,2021-02,2023-09,32,868.28125,98.34869970605088,Fluctuating
Zinc Tablets,2020-01,2025-06,66,1140.8030303030303,107.53034916095079,Stable
